sampledate,layer,tp,,,,,,,
5/23/1995,epi,83.63209857645798,,,,,,,
6/6/1995,epi,75.53050972927242,,,,,,,
6/21/1995,epi,44.40907643312102,,,,,,,
7/6/1995,epi,42.430851063829785,,,,,,,
7/18/1995,epi,29.193848217707934,,,,,,,
8/2/1995,epi,33.76959563050978,,,,,,,
8/14/1995,epi,23.806151782292066,,,,,,,
8/30/1995,epi,25.170976253298154,,,,,,,
9/11/1995,epi,30.91619470381142,,,,,,,
9/25/1995,epi,58.72196261682243,,,,,,,
10/11/1995,epi,109.47762955967418,,,,,,,
5/28/1996,epi,109.58333333333333,,,,,,,
6/10/1996,epi,104.45140058166233,,,,,,,
6/26/1996,epi,88,,,,,,,
7/8/1996,epi,83.99391529321579,,,,,,,
7/22/1996,epi,54.35584872471416,,,,,,,
8/5/1996,epi,54.71354441512753,,,,,,,
8/19/1996,epi,25.42339489885664,,,,,,,
9/5/1996,epi,19.01700843234956,,,,,,,
9/16/1996,epi,31.53551201591918,,,,,,,
10/16/1996,epi,105.66822429906541,,,,,,,
5/13/1997,epi,126.67842560836192,,,,,,,
5/28/1997,epi,159.2687246963563,,,,,,,
6/11/1997,epi,117.63409475465313,,,,,,,
6/25/1997,epi,68,,,,,,,
7/24/1997,epi,49.88962181,,,,,,,
8/6/1997,epi,69.60954265611258,,,,,,,
8/18/1997,epi,49.643148783276175,,,,,,,
9/2/1997,epi,70.61709946104851,,,,,,,
10/1/1997,epi,247.05524553571428,,,,,,,
4/24/1998,epi,143.48353901273885,,,,,,,
5/11/1998,epi,103.25536604062859,,,,,,,
5/28/1998,epi,122.43991950939058,,,,,,,
6/8/1998,epi,92.90026385224274,,,,,,,
6/22/1998,epi,93.95707167497126,,,,,,,
7/6/1998,epi,90.10540897097626,,,,,,,
7/23/1998,epi,51.57660510114336,,,,,,,
8/2/1998,epi,33.831784208509006,,,,,,,
8/18/1998,epi,32.75452946350044,,,,,,,
9/2/1998,epi,33.83317001469868,,,,,,,
9/28/1998,epi,42.39346395224246,,,,,,,
10/27/1998,epi,279.68995839636915,,,,,,,
4/26/1999,epi,110.0671974522293,,,,,,,
5/10/1999,epi,113.00999862561846,,,,,,,
5/26/1999,epi,108.61743570347957,,,,,,,
6/7/1999,epi,117.14942832014071,,,,,,,
6/21/1999,epi,85.93245382585752,,,,,,,
7/6/1999,epi,73.56833773087071,,,,,,,
7/19/1999,epi,48.16519679895476,,,,,,,
8/2/1999,epi,49.17493403693931,,,,,,,
8/16/1999,epi,40.84517067197306,,,,,,,
8/30/1999,epi,36.96980713301699,,,,,,,
9/27/1999,epi,224.80109051941503,,,,,,,
10/7/1999,epi,NA,,,,,,,
5/9/2000,epi,65.89449976292082,,,,,,,
5/22/2000,epi,79.15482932802693,,,,,,,
6/6/2000,epi,93.31696673996701,,,,,,,
6/19/2000,epi,97.70312260829634,,,,,,,
7/3/2000,epi,85.89200979641818,,,,,,,
7/17/2000,epi,45.35584872471416,,,,,,,
7/31/2000,epi,62.47195009949487,,,,,,,
8/16/2000,epi,39.16519679895476,,,,,,,
8/28/2000,epi,97.91581203122608,,,,,,,
9/25/2000,epi,156.25949739452008,,,,,,,
10/24/2000,epi,145.37016875861013,,,,,,,
